id,profileName,text,date,title,rating,images,helpful,Size name,Colour
R1NGZAQUWSMWPW,Sumit Khinchi,,Reviewed in India 🇮🇳 on 8 August 2022,"Perfect device, amazing speed.",5,"https://m.media-amazon.com/images/I/51xi7m32lbL.jpg
https://m.media-amazon.com/images/I/71R4Th5bQqL.jpg",3,,
R13IXB4N2ABHGM,Dinesh ,Received the actual original apple product. It’s seriously a beast,Reviewed in India 🇮🇳 on 30 July 2022,Such a beast. Happy i have shifted to Iphone after 13 years of android,5,,2,,
R2DPYRS2IJ0J7I,Subha nath,Nice,Reviewed in India 🇮🇳 on 3 August 2022,Nice,5,,1,,
R3GKWFHLOHNZBO,Pappu,SUPERB,Reviewed in India 🇮🇳 on 4 August 2022,FLAGSHIP INDEED,5,,0,,
R2EQRFLWBROSTI,Sumit,,Reviewed in India 🇮🇳 on 22 August 2022,নিজের পয়সায় iphone কেনার মজায় আলাদা তাও আবার টপ মডেল,5,,1,,
R16VHYMQ52N06O,Sauradeep S.," THANKS FOR A2A,LOVED THE PRODUCT AMD TECHNOLOGY",Reviewed in India 🇮🇳 on 12 August 2022,Secure Package C_C,5,,2,256GB,Graphite
R189IVYM91496G,Bikesh gupta,"The iPhone 13 Pro Max’s stellar cameras, 120Hz ProMotion display and longer battery life add up to a practically perfect phone in our testing. The charging could be faster and Touch ID would be nice, but overall this is a beast that can’t be beat.Pros+Best cameras in a phone+Superior performance+Cinematic video mode+Brighter display+Excellent battery lifeCons-Could use faster charging-Cinematic mode capped at 1080p",Reviewed in India 🇮🇳 on 21 March 2022,"The iPhone 13 Pro Max’s stellar cameras, 120Hz +Best cameras in a phone +Superior performance",4,https://m.media-amazon.com/images/I/81Pw6jPSxOL.jpg,5,,
RPMMB8UI4QJM3,Ratti,Got original iPhone.,Reviewed in India 🇮🇳 on 24 July 2022,Genuine Apple Product,5,,0,,
R30ZKYTVJHXO6,HARISH,Osm performance,Reviewed in India 🇮🇳 on 24 July 2022,Osm,5,"https://m.media-amazon.com/images/I/61+dzQvhuAL.jpg
https://m.media-amazon.com/images/I/615SnvvQbrL.jpg",2,,
R3L5FFPUD2G1HI,Amazon Customer,Amazing phone to flaunt.. status symbol goes so high while carrying this phone with pride.. Best premium phone in its class but the money spent is something could be worth if this phone doesn’t create any issues for the next 5 years,Reviewed in India 🇮🇳 on 17 June 2022,Amazing phone that automatically flaunts your status symbol,5,,1,,
